directory,dep_mgr,exec_err,c1_commit,c1_results,c2_commit,c2_results
cumulus-2/data/d7/09/56329,Get,true,,-1,,-1
cumulus-2/data/d8/0e/436387,Get,true,55bdaa3f4bf4cf91acd94701fa2044fb487c455b,2540,,-1
cumulus-2/data/d8/35/114479,Get,true,,-1,,-1
cumulus-2/data/da/82/273779,Get,true,,-1,,-1
cumulus-2/data/db/d3/258864,Get,true,7c323a5734063ddd22044039f010d34c8365d13d,306,,-1
cumulus-2/data/de/21/449509,Get,true,,-1,,-1
cumulus-2/data/e0/e2/179367,Get,true,,-1,,-1
cumulus-2/data/e2/87/322193,Get,true,,-1,,-1
cumulus-2/data/e3/b6/165975,Get,true,,-1,,-1
cumulus-2/data/e7/f9/231999,Get,true,18d548df635f0d2c5c0e6bfc500d425ba1859403,1511,,-1
cumulus-2/data/f0/5e/113600,Godep,false,9d21ea6de38bd371e34bde196ceaee94cdac8a2c,1679,58541588cdf85e519881e941de79af06a5f98683,0
cumulus-2/data/f2/83/139339,Get,false,f71873811a1323b04a1e2fdd68b2a1c0ee7bee80,263,b094997b572d863ec92eaf0fb7a83787664de93f,2731
cumulus-2/data/f3/56/43118,Get,true,,-1,,-1
cumulus-2/data/f3/b5/69103,Get,true,0b952b033508e022d1781dbdcb83f6fb7acdaa3a,0,,-1
cumulus-2/data/f6/de/317197,Get,true,,-1,,-1
cumulus-2/data/f9/10/473770,Get,true,970db520ece77730c7e4724c61121037378659d9,3205,,-1
cumulus-2/data/fb/70/36854,Get,false,22ee27d5ccd5d820825b22af245712dd81743095,0,c9cf5b600648d6afc341992ce7dfb248d7cde270,0
cumulus-2/data/fc/9f/288793,Get,true,,-1,,-1
cumulus-3/data/00/3d/274035,Get,true,,-1,,-1
cumulus-3/data/00/dd/44521,Get,false,637728756caf5542b6be03251bbc28a17493b3f9,2816,641fa50e6cbe6e840c1becd03c5de9ace6cf01be,0
cumulus-3/data/06/a0/257574,Get,true,dc5529a643e8c19714ceb7c159692db6866d5750,2691,,-1
cumulus-3/data/0a/e8/368285,Get,false,8fc64b197ee2b9805a74fa837cf6d6d9ac26ed23,2924,b35f4d4d9079c9fa373cc4549084a90b71e73c47,0
cumulus-3/data/0e/92/138585,Get,true,,-1,,-1
cumulus-3/data/0e/f4/434490,Get,true,,-1,,-1
cumulus-3/data/15/a1/438982,Govendor,true,27ca5ecb5ef7d385a4fa246e1b0635e8488cc21f,399,,-1
cumulus-3/data/18/32/471917,Get,false,adfb02f3172f79816912bcf58f2b58531624ae68,0,b05d0d8eebd6e27f92b3757115f4146adde276f1,0
cumulus-3/data/18/f0/439881,Glide,true,17a471bd7e54e28d1cdf60d98ad1b4ec1153ed9a,0,,-1
cumulus-3/data/19/40/109719,Glide,true,d40845d5cef009faa678df19d1cb3bdcc5a1df03,4816,,-1
cumulus-3/data/1a/8d/331261,Get,true,e3d09bbcbf6d7721468bbe5deb35fe71da57d0f3,0,,-1
cumulus-3/data/23/7f/262503,Get,false,dec023e6f5ff98e8ac96891f751a72dcc61503ae,0,b192e6f1c5947ea1110332cfe572f3f9d560ec45,0
cumulus-3/data/25/3d/446766,Get,true,22b94e9b23f9a03e2fc8987a5908ec14f290702b,4456,,-1
cumulus-3/data/2d/09/460805,Get,true,c09b206546d1c7448bee892c56c21cc2bcd7e973,1727,,-1
cumulus-3/data/2e/2e/397223,Get,true,,-1,,-1
cumulus-3/data/32/62/262730,Get,false,a509d071de2811703b877e94d7c91e27fb8c5086,0,fa5c5c62e6bbca210cee08d9601a935f4d05fbab,0
cumulus-3/data/33/1c/16046,Get,true,84403ded544328c99be3472727667179eef23a91,0,,-1
cumulus-3/data/34/66/59937,Get,true,,-1,,-1
